name,category,features,price,popularity,keywords
ChatGPT,Text Generation,"Free tier,API access,Multilingual",medium,95,"chatbot,text generation,code assistant,writing,content creation"
Claude,Text Generation,"Free tier,Context memory,Multilingual",medium,88,"chatbot,long context,writing,analysis"
Gemini,Text Generation,"Free tier,Integration with Google,Multilingual",medium,85,"chatbot,text generation,google integration"
MidJourney,Image Generation,"Subscription,High quality,No API",high,90,"image generation,art,creative design"
DALL-E,Image Generation,"API access,High quality,Integrated with ChatGPT",medium,87,"image generation,illustrations,product design"
Stable Diffusion,Image Generation,"Open source,Local install,Customizable",free,80,"image generation,art,custom models"
RunwayML,Video Generation,"Subscription,AI editing,Text-to-video",high,82,"video editing,video generation,content creation"
Synthesia,Video Generation,"Subscription,Avatar-based,Multilingual",high,84,"video avatars,presentations,training videos"
Whisper,Speech-to-Text,"Open source,Multilingual,Fast",free,85,"speech recognition,transcription,voice"
AssemblyAI,Speech-to-Text,"API access,High accuracy,Fast",medium,83,"speech recognition,transcription,api"
Descript,Audio/Video Editing,"Free tier,Transcription,Screen recording",medium,81,"podcast editing,video editing,audio transcription"
Perplexity AI,Research,"Free tier,Web search,Fast",low,80,"research,question answering,search engine"
Elicit,Research,"Free tier,Academic focus,Fast",low,78,"research,academic search,literature review"
SciSpace,Research,"Free tier,PDF summarization,Citation help",low,77,"academic search,reading papers,reference management"
Notion AI,Productivity,"Subscription,Note-taking,Integrated AI",medium,82,"notes,productivity,writing,organizing"
Mem AI,Productivity,"Subscription,Context memory,Search",medium,79,"notes,productivity,knowledge management"
Copy.ai,Marketing,"Free tier,Templates,SEO",medium,84,"marketing copy,ads,product descriptions,seo"
Jasper,Marketing,"Subscription,Long-form content,SEO",high,85,"blog writing,marketing copy,seo"
Grammarly,Writing Assistant,"Free tier,Grammar check,Plagiarism detection",medium,92,"writing,grammar correction,proofreading"
QuillBot,Writing Assistant,"Free tier,Paraphrasing,Grammar check",low,88,"writing,paraphrasing,grammar correction"
Scribe,Documentation,"Free tier,Workflow recording,Sharing",low,76,"documentation,process recording,instructions"
Tome,Presentation,"Free tier,AI presentations,Design templates",low,79,"presentations,storytelling,slides"
Beautiful.ai,Presentation,"Free tier,Smart templates,Design automation",low,78,"presentations,design,automation"
ChatDOC,Document Analysis,"Free tier,PDF chat,Fast",low,81,"document analysis,pdf,question answering"
Humata AI,Document Analysis,"Free tier,PDF summarization,Fast",low,82,"document analysis,pdf summarization,qa"
Gamma,Presentation,"Free tier,AI slide generation,Web-based",low,77,"presentations,slides,automation"
ElevenLabs,Speech Generation,"Free tier,Realistic voices,Multilingual",medium,86,"speech generation,text-to-speech,voice cloning"
Murf AI,Speech Generation,"Subscription,Realistic voices,Studio features",high,85,"voice over,realistic speech,audio production"
Play.ht,Speech Generation,"Free tier,API access,Realistic voices",medium,83,"text-to-speech,voice cloning,audio generation"
Fireflies.ai,Meeting Assistant,"Free tier,Transcription,Meeting summaries",low,82,"meeting assistant,transcription,meeting notes"
